;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;21
0;POPR4;10,17;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;8,66%;5,65%;1,08;15,25%;19,93%;0,00;545.803.000,00;0,82;30,93%;
1;MNSA3;0,42;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;-208,15%;-362,66%;3,63;-13,50%;145,70%;0,00;-9.105.000,00;-6,52;-41,11%;
2;CSTB4;147,69;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;40,85%;28,98%;2,60;22,40%;20,11%;0,00;8.420.670.000,00;0,14;31,91%;
3;IVTT3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-0,40%;0,00;1.083.050.000,00;0,00;20,67%;
4;CFLU4;1.000,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;8,88%;10,72%;1,10;17,68%;32,15%;0,00;60.351.000,00;0,06;8,14%;
5;PORP4;2,40;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-2,08%;0,00;22.399.000,00;0,00;13,66%;
6;PMET3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,10%;0,00;-290.863.000,00;0,00;37,74%;
7;MNSA4;0,47;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;-208,15%;-362,66%;3,63;-13,50%;145,70%;0,00;-9.105.000,00;-6,52;-41,11%;
8;CLAN3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-1,05%;0,00;1.012.240.000,00;0,00;-63,96%;
9;CSTB3;150,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;40,85%;28,98%;2,60;22,40%;20,11%;0,00;8.420.670.000,00;0,14;31,91%;
10;GNDI3;66,95;-3.584,82;5,84;3,423;2,39%;2,378;79,65;87,05;-6,21;91,13;50,88;3,93%;-0,09%;1,17;3,09%;-0,16%;0,00;7.116.080.000,00;0,53;25,23%;
11;LWSA3;6,55;-1.360,35;1,31;4,353;0,00%;0,836;2,77;179,71;7,59;111,79;20,95;2,42%;-0,32%;2,75;0,71%;-0,10%;113.209.000,00;2.941.450.000,00;0,03;47,96%;
12;HETA3;96,00;-874,29;-0,09;17,455;0,00%;4,745;-0,60;19,27;-0,09;147,01;147,01;90,59%;-2,00%;0,01;24,67%;0,01%;0,00;-555.862.000,00;-0,58;6,53%;
13;ELMD3;9,77;-841,63;1,80;2,930;0,00%;0,892;4,79;29,52;-8,62;30,45;11,74;9,93%;-0,35%;1,87;4,90%;-0,21%;2.315.420,00;760.772.000,00;0,69;111,77%;
14;PLDN4;486,00;-553,07;1,08;0,919;0,00%;0,611;1,07;-75,56;3,10;-33,12;-33,12;-1,22%;-0,17%;10,81;-1,27%;-0,20%;0,00;289.939.000,00;0,01;10,26%;
15;BRPR3;8,69;-339,92;0,58;12,598;1,21%;0,364;17,56;19,49;-1,27;29,29;29,04;64,63%;-3,71%;1,31;2,02%;-0,17%;26.081.600,00;7.072.250.000,00;0,41;-7,43%;
16;RAIL3;16,12;-338,34;2,03;3,783;0,12%;0,668;6,80;17,76;-1,47;24,10;11,24;21,30%;-1,10%;1,87;4,47%;-0,60%;181.957.000,00;14.706.100.000,00;1,16;5,85%;
17;LCSA4;35,09;-337,52;-228,00;79,738;0,00%;125,308;-202,27;-505,80;-96,61;-506,56;-506,56;-15,77%;-23,63%;0,29;-28,74%;67,55%;0,00;-377.568.000,00;-0,35;6.354,07%;
18;SCAR3;25,02;-281,70;0,93;5,207;0,57%;0,415;-5,26;10,71;-0,88;23,88;17,06;48,62%;-2,28%;0,49;3,96%;-0,33%;121.118,00;1.551.380.000,00;1,19;-13,01%;
19;BHGR3;19,10;-272,16;1,10;3,613;0,00%;0,855;-194,45;23,70;-8,56;25,95;14,20;15,24%;-1,31%;0,96;3,93%;-0,40%;0,00;1.077.600.000,00;0,20;20,67%;
20;RJCP3;0,01;-224,70;0,65;0,000;0,00%;0,619;0,00;-522,94;0,00;-523,96;-917,32;0,00%;0,00%;0,00;0,00%;-0,29%;0,00;17.287.200,00;0,00;0,00%;
21;ABYA3;4,91;-214,80;1,76;2,055;0,00%;0,527;1,98;19,96;-2,75;33,67;33,67;10,29%;-0,96%;2,09;2,78%;-0,82%;0,00;292.060.000,00;1,31;16,41%;
22;PITI4;1,28;-204,74;0,00;0,000;0,00%;0,000;0,00;-2.637,65;0,00;-2.637,65;111,07;0,00%;0,00%;0,00;0,00%;0,00%;0,00;0,00;0,00;-29,63%;
23;MAPT3;37,00;-197,69;-5,67;0,000;0,00%;43,988;-829,34;-217,97;-5,02;-217,97;-217,97;0,00%;0,00%;0,00;-21,31%;2,87%;0,00;-5.994.000,00;0,00;0,00%;
24;LCSA3;12,50;-120,23;-81,22;28,405;0,00%;44,638;-72,05;-180,18;-34,41;-180,95;-180,95;-15,77%;-23,63%;0,29;-28,74%;67,55%;0,00;-377.568.000,00;-0,35;6.354,07%;
25;MAGG3;59,40;-119,98;1,32;0,684;0,00%;0,440;9,32;4,07;-1,55;6,41;5,34;16,82%;-0,57%;1,14;14,05%;-1,10%;0,00;2.246.130.000,00;1,03;9,27%;
26;GLOB4;30,49;-106,18;8,65;1,585;0,00%;1,403;-34,64;40,05;-4,06;46,74;25,25;3,96%;-1,49%;0,92;4,58%;-8,15%;0,00;5.635.000.000,00;1,67;4,43%;
27;LINX3;37,40;-90,95;4,38;7,885;1,52%;2,745;11,96;53,17;47,06;51,49;22,97;14,83%;-8,67%;2,14;6,82%;-4,81%;0,00;1.619.010.000,00;0,22;15,54%;
28;BNCA3;70,30;-90,30;2,45;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-2,72%;0,00;3.068.150.000,00;0,00;2,41%;
29;ALLL3;3,97;-83,33;0,50;0,932;0,00%;0,165;1,68;4,37;-0,36;10,71;5,00;21,30%;-1,10%;1,87;4,47%;-0,60%;0,00;14.706.100.000,00;1,16;5,85%;
30;MAPT4;14,17;-75,71;-2,17;0,000;0,00%;16,846;-317,62;-83,48;-1,92;-83,48;-83,48;0,00%;0,00%;0,00;-21,31%;2,87%;186,07;-5.994.000,00;0,00;0,00%;
31;RCSL3;3,23;-74,94;-3,32;1,847;0,00%;1,917;24,07;119,01;-1,70;118,38;61,49;1,55%;-2,47%;1,21;1,68%;4,43%;2.941.980,00;-36.870.000,00;-0,00;429,63%;
32;AALR3;20,06;-73,49;2,05;2,106;0,00%;0,935;-29,91;30,57;-2,67;39,33;15,62;6,89%;-2,22%;0,85;3,28%;-2,79%;8.071.750,00;1.159.400.000,00;0,66;-0,14%;
33;AMIL3;32,20;-73,28;7,70;1,129;0,00%;2,003;-16,95;136,58;-5,43;138,61;50,13;0,83%;-1,53%;0,75;2,22%;-10,51%;0,00;1.532.980.000,00;1,24;28,47%;
34;ALLL4;3,32;-69,68;0,42;0,779;0,00%;0,138;1,40;3,66;-0,30;10,00;4,66;21,30%;-1,10%;1,87;4,47%;-0,60%;0,00;14.706.100.000,00;1,16;5,85%;
35;ALLL11;16,50;-69,26;0,42;0,775;0,00%;0,137;1,39;3,64;-0,30;9,98;4,65;21,30%;-1,10%;1,87;4,47%;-0,60%;0,00;14.706.100.000,00;1,16;5,85%;
36;PRGA4;75,00;-68,95;6,54;1,630;0,00%;1,460;11,83;48,09;-4,88;55,88;21,19;3,39%;-2,34%;1,35;5,17%;-9,48%;0,00;12.423.100.000,00;1,82;11,72%;
37;BRTP3;35,71;-67,26;2,45;1,168;0,00%;0,684;8,98;6,03;-2,40;7,55;7,55;19,37%;-2,96%;1,29;13,41%;-3,64%;0,00;5.302.340.000,00;0,91;3,66%;
38;IDVL11;140,00;-66,00;60,56;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-91,76%;0,00;237.683.000,00;0,00;0,00%;
39;ORVR3;27,04;-54,31;5,76;4,324;0,00%;1,586;6,94;16,62;-5,00;21,40;14,25;26,02%;-6,57%;2,36;10,14%;-10,61%;12.966.900,00;335.501.000,00;1,69;15,21%;
40;PEFX5;19,00;-52,04;1,68;0,477;0,00%;0,597;20,34;5,75;-3,18;6,59;0,00;8,30%;-0,92%;1,07;11,77%;-3,24%;0,00;396.955.000,00;0,31;4,36%;
41;PEFX3;19,00;-52,04;1,68;0,477;0,00%;0,597;20,34;5,75;-3,18;6,59;0,00;8,30%;-0,92%;1,07;11,77%;-3,24%;0,00;396.955.000,00;0,31;4,36%;
42;DASA3;16,00;-50,65;1,18;0,802;1,84%;0,366;26,84;39,41;-0,88;67,44;12,60;2,04%;-1,52%;1,05;1,11%;-2,34%;4.385.180,00;7.573.560.000,00;1,23;34,81%;
43;TOYB4;2,50;-47,96;-5,43;5,256;0,00%;4,405;-6,47;-9,04;-3,83;-9,15;-9,67;-58,16%;-10,96%;0,49;-59,36%;11,31%;0,00;-13.852.000,00;-0,07;-26,99%;
44;HETA4;5,21;-47,45;-0,00;0,947;0,00%;0,257;-0,03;1,05;-0,00;128,78;128,78;90,59%;-2,00%;0,01;24,67%;0,01%;7.959,88;-555.862.000,00;-0,58;6,53%;
45;IMBI3;5,01;-46,42;2,81;2.659,020;0,00%;0,518;-2,21;-97,12;-0,37;-104,72;-107,45;-2.737,88%;-13.821,20%;0,05;-0,54%;-6,05%;0,00;62.544.000,00;0,22;-57,16%;
46;CLAN4;3,00;-44,92;0,47;15,151;0,00%;0,406;-15,50;-82,56;-6,36;-97,43;22,68;-18,35%;-33,73%;0,73;-0,50%;-1,05%;0,00;1.012.240.000,00;0,08;-63,96%;
47;TOYB3;2,29;-43,94;-4,97;4,815;0,00%;4,035;-5,93;-8,28;-3,50;-8,39;-8,87;-58,16%;-10,96%;0,49;-59,36%;11,31%;0,00;-13.852.000,00;-0,07;-26,99%;
48;EBTP3;10,21;-43,56;1,17;0,548;0,00%;0,353;-502,47;6,42;-0,73;8,46;2,85;8,53%;-1,03%;0,99;6,03%;-2,68%;0,00;10.782.200.000,00;0,39;22,10%;
49;EBTP4;10,00;-42,66;1,14;0,537;0,00%;0,346;-492,13;6,29;-0,71;8,33;2,81;8,53%;-1,03%;0,99;6,03%;-2,68%;0,00;10.782.200.000,00;0,39;22,10%;
50;BAHI4;86,00;-41,65;12,13;7,111;0,00%;2,885;-18,48;-253,03;-4,92;-260,38;-3.634,55;-2,81%;-17,91%;0,51;-1,27%;-29,13%;0,00;168.556.000,00;0,67;70,47%;
51;RNEW3;2,05;-41,59;-0,31;2,187;0,00%;0,101;-2,28;-2,49;-0,10;-13,97;-15,09;-87,99%;-5,26%;0,85;-4,68%;0,75%;132.615,00;-721.426.000,00;-1,71;-45,08%;
52;FBRA4;34,58;-39,57;1,66;0,457;0,00%;0,738;18,94;7,40;-4,43;10,62;10,62;6,18%;-1,15%;1,11;11,94%;-4,20%;0,00;213.406.000,00;0,77;12,48%;
53;RNEW11;5,83;-39,43;-0,29;2,073;0,00%;0,096;-2,16;-2,36;-0,09;-13,84;-14,95;-87,99%;-5,26%;0,85;-4,68%;0,75%;92.778,10;-721.426.000,00;-1,71;-45,08%;
54;BRTP4;20,81;-39,19;1,43;0,681;0,00%;0,399;5,23;3,51;-1,40;5,03;5,03;19,37%;-2,96%;1,29;13,41%;-3,64%;0,00;5.302.340.000,00;0,91;3,66%;
55;KRSA3;3,12;-38,73;1,92;1,581;0,00%;0,556;-136,49;13,44;-1,21;23,22;15,58;11,77%;-3,28%;0,98;4,51%;-4,96%;950.135,00;1.252.900.000,00;1,57;0,00%;
56;RNEW4;1,87;-37,94;-0,28;1,995;0,00%;0,092;-2,08;-2,27;-0,09;-13,75;-14,85;-87,99%;-5,26%;0,85;-4,68%;0,75%;562.038,00;-721.426.000,00;-1,71;-45,08%;
57;ONCO3;4,97;-36,15;1,33;0,842;0,00%;0,388;1,93;12,40;-1,75;17,29;10,28;6,79%;-1,54%;1,99;4,48%;-3,69%;8.243.700,00;1.826.450.000,00;1,34;0,00%;
58;ITEC3;40,10;-35,12;22,04;2.611,690;0,00%;9,216;25,42;-26,00;-68,91;-24,80;-29,56;-10.044,70%;-7.435,88%;5,23;-63,06%;-62,76%;0,00;20.143.000,00;0,00;-74,79%;
59;IMBI4;3,50;-32,43;1,96;1.857,600;0,00%;0,362;-1,54;-67,85;-0,26;-75,44;-77,41;-2.737,88%;-13.821,20%;0,05;-0,54%;-6,05%;0,00;62.544.000,00;0,22;-57,16%;
60;PRTX3;2,77;-32,27;-145,32;297,651;0,00%;1,400;-2,57;-97,11;-1,43;-128,99;37,19;-306,50%;-922,47%;0,05;-1,50%;450,37%;0,00;-18.917.000,00;-49,85;307,96%;
61;OMGE3;27,57;-32,03;1,59;3,419;0,00%;0,543;10,86;12,56;-1,06;24,34;13,09;27,23%;-11,12%;1,72;4,69%;-4,95%;0,00;3.483.570.000,00;1,66;38,73%;
62;ARTR3;10,01;-31,50;0,90;1,287;0,00%;0,301;5,50;9,10;-0,57;22,79;8,85;14,15%;-4,09%;1,65;3,83%;-2,85%;0,00;6.405.390.000,00;1,72;3,15%;
63;BAHI5;65,00;-31,48;9,17;5,374;0,00%;2,181;-13,96;-191,24;-3,72;-198,60;-2.772,11;-2,81%;-17,91%;0,51;-1,27%;-29,13%;0,00;168.556.000,00;0,67;70,47%;
64;DFVA3;9,90;-31,38;60,69;4,327;0,00%;5,365;29,10;-55,91;-31,47;-58,28;-58,28;-7,74%;-13,79%;1,33;-10,35%;-193,42%;0,00;1.170.000,00;2,84;3,39%;
65;ASTA4;25,83;-30,79;1,00;0,652;0,00%;0,446;2,57;19,90;-3,30;33,20;33,20;3,28%;-2,12%;1,71;2,52%;-3,25%;0,00;515.672.000,00;0,85;-4,73%;
66;VGOR4;5,87;-29,58;7,18;1,229;0,00%;1,468;113,97;27,32;-3,22;34,09;34,09;4,50%;-4,59%;1,04;6,00%;-24,29%;0,00;135.178.000,00;1,89;4,77%;
67;CRBM3;90,00;-28,95;3,26;1,498;0,00%;1,172;2,98;-15,45;16,90;-14,17;-14,17;-9,70%;-5,18%;2,24;-12,71%;-11,28%;0,00;827.347.000,00;0,45;-1,58%;
68;KROT11;40,00;-26,07;0,84;2,211;0,00%;0,377;3,78;16,17;-1,38;25,23;12,03;13,68%;-8,88%;1,69;2,79%;-3,23%;0,00;12.714.100.000,00;0,77;-5,75%;
69;RRRP3;31,90;-25,95;1,70;6,661;0,00%;1,236;5,42;19,09;12,33;14,47;9,82;34,90%;-23,93%;2,62;9,50%;-6,55%;150.306.000,00;3.800.970.000,00;0,01;0,00%;
70;DFVA4;8,00;-25,35;49,04;3,497;0,00%;4,335;23,51;-45,18;-25,43;-47,55;-47,55;-7,74%;-13,79%;1,33;-10,35%;-193,42%;0,00;1.170.000,00;2,84;3,39%;
71;SEQL3;5,22;-25,19;1,28;0,446;0,00%;0,372;5,12;134,15;-0,96;227,10;8,31;0,33%;-1,77%;1,29;0,34%;-5,08%;23.104.700,00;572.656.000,00;1,17;41,74%;
72;RCSL4;1,05;-24,36;-1,08;0,600;0,00%;0,623;7,83;38,69;-0,55;38,06;19,77;1,55%;-2,47%;1,21;1,68%;4,43%;319.082,00;-36.870.000,00;-0,00;429,63%;
73;KROT4;5,12;-23,36;0,76;1,981;0,00%;0,338;3,38;14,49;-1,24;23,55;11,23;13,68%;-8,88%;1,69;2,79%;-3,23%;0,00;12.714.100.000,00;0,77;-5,75%;
74;TAMM4;52,73;-22,74;3,80;0,626;0,00%;0,524;-31,11;9,77;-0,96;18,01;9,66;6,41%;-2,21%;0,95;6,36%;-16,70%;0,00;2.174.310.000,00;4,08;9,79%;
75;TAMM3;52,60;-22,68;3,79;0,625;0,00%;0,523;-31,04;9,74;-0,96;17,98;9,65;6,41%;-2,21%;0,95;6,36%;-16,70%;0,00;2.174.310.000,00;4,08;9,79%;
76;CEED4;65,50;-21,76;-1,69;0,919;0,00%;0,720;4,63;30,02;-0,72;43,88;19,31;3,06%;-4,22%;1,58;2,88%;7,76%;548,79;-2.649.070.000,00;-1,02;155,13%;
77;CASH3;1,24;-20,51;1,49;3,303;0,00%;1,154;1,80;-10,93;2,23;-5,42;-5,79;-30,21%;-14,55%;8,57;-25,78%;-7,25%;43.588.900,00;670.353.000,00;0,00;107,30%;
78;CRBM7;60,00;-19,30;2,18;0,999;0,00%;0,782;1,99;-10,30;11,26;-9,02;-9,02;-9,70%;-5,18%;2,24;-12,71%;-11,28%;0,00;827.347.000,00;0,45;-1,58%;
79;WMBY3;25,39;-19,30;2,87;0,836;0,00%;0,182;1,20;8,62;-1,50;25,02;25,02;9,70%;-7,05%;1,44;2,39%;-14,86%;0,00;212.439.000,00;6,51;-14,48%;
80;TDBH4;0,66;-18,63;1,28;0,906;0,00%;0,811;-6,15;8,73;-5,66;10,23;10,23;10,38%;-4,86%;0,63;10,48%;-6,85%;0,00;554.115.000,00;0,27;35,74%;
81;TANC4;43,00;-18,54;3,10;0,511;0,00%;0,428;-25,37;7,96;-0,78;16,20;8,69;6,41%;-2,21%;0,95;6,36%;-16,70%;0,00;2.174.310.000,00;4,08;9,79%;
82;VVAR11;14,58;-16,92;1,38;0,253;0,00%;0,224;-5,52;6,38;-0,65;13,08;7,06;3,96%;-1,49%;0,92;4,58%;-8,15%;0,00;5.635.000.000,00;1,67;4,43%;
83;VVAR4;4,84;-16,85;1,37;0,252;0,00%;0,223;-5,50;6,36;-0,64;13,05;7,05;3,96%;-1,49%;0,92;4,58%;-8,15%;0,00;5.635.000.000,00;1,67;4,43%;
84;IFCM3;5,98;-16,44;1,36;3,097;0,00%;0,575;-24,32;-30,57;-2,31;-35,10;140,46;-10,13%;-18,84%;0,93;-2,44%;-8,28%;5.169.200,00;1.238.250.000,00;0,36;0,00%;
